Start 0,Finish -1,0x4F68,Session 69
3255,3367,Pass,
3401,3474,Pass,
3550,3622,Pass,
3676,3750,Pass,
3804,3875,Pass,
3932,4007,Pass,
4084,4159,Pass,
4214,4283,Pass,
4363,4432,Pass,
4490,4555,Pass,
4608,4675,Pass,
4727,4797,Pass,
4911,4977,Pass,
5042,5113,Pass,
5178,5260,Pass,
5466,5537,Pass,
5627,5702,Pass,
5877,5946,Pass,
6025,6092,Pass,
6152,6227,Pass,
6313,6388,Pass,
6418,6481,Pass,
6546,6618,Pass,
6714,6783,Pass,
6825,6888,Pass,
6974,7046,Pass,
7102,7170,Pass,
7227,7293,Pass,
7369,7450,Pass,
7512,7572,Pass,
7628,7688,Pass,
7756,7828,Pass,
7872,7930,Pass,
7969,8029,Pass,
8107,8187,Pass,
8244,8305,Pass,
8371,8430,Pass,
8508,8579,Pass,
8648,8713,Pass,
8767,8825,Pass,
8892,8968,Pass,
9014,9079,Pass,
9126,9186,Pass,
9263,9336,Pass,
9379,9442,Pass,
9489,9555,Pass,
9618,9691,Pass,
9756,9814,Pass,
9882,9943,Pass,
10009,10079,Pass,
10884,10936,Pass,
11008,11064,Pass,
11107,11159,Pass,
11215,11265,Pass,
11318,11376,Pass,
11420,11472,Pass,
11505,11557,Pass,
11596,11644,Pass,
11696,11743,Pass,
11786,11829,Pass,
12168,12210,Pass,
12268,12310,Pass,
12355,12396,Pass,
12443,12482,Pass,
12540,12583,Pass,
12622,12662,Pass,
12717,12757,Pass,
12805,12847,Pass,
12884,12927,Pass,
12985,13029,Pass,
13962,14033,Pass,
14101,14143,Pass,
14232,14283,Pass,
14365,14417,Pass,
14481,14530,Pass,
14783,14822,Pass,
14897,14946,Pass,
15010,15058,Pass,
15221,15283,Pass,
15323,15374,Pass,
15456,15516,Pass,
15702,15754,Pass,
15817,15885,Pass,
15943,16017,Pass,
16544,16606,Pass,
16672,16733,Pass,
16772,16823,Pass,
16926,16984,Pass,
17034,17104,Pass,
17180,17233,Pass,
17310,17356,Pass,
17408,17468,Pass,
17516,17572,Pass,
17684,17729,Pass,
17774,17847,Pass,
17914,17974,Pass,
18043,18089,Pass,
18162,18217,Pass,
18315,18387,Pass,
18645,18697,Pass,
